+ mkdir -p /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs
Unpacking libpython2.7-minimal:amd64 (2.7.6-8ubuntu0.2) over (2.7.6-8) ...
Preparing to unpack .../mime-support_3.54ubuntu1.1_all.deb ...
Unpacking mime-support (3.54ubuntu1.1) over (3.54ubuntu1) ...
Preparing to unpack .../libyaml-0-2_0.1.4-3ubuntu3.1_amd64.deb ...
Unpacking libyaml-0-2:amd64 (0.1.4-3ubuntu3.1) over (0.1.4-3ubuntu3) ...
Preparing to unpack .../multiarch-support_2.19-0ubuntu6.6_amd64.deb ...
Unpacking multiarch-support (2.19-0ubuntu6.6) over (2.19-0ubuntu6) ...
Setting up multiarch-support (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../net-tools_1.60-25ubuntu2.1_amd64.deb ...
Unpacking net-tools (1.60-25ubuntu2.1) over (1.60-25ubuntu2) ...
Preparing to unpack .../locales_2.13+git20120306-12.1_all.deb ...
Unpacking locales (2.13+git20120306-12.1) over (2.13+git20120306-12) ...
Preparing to unpack .../openssl_1.0.1f-1ubuntu2.15_amd64.deb ...
Unpacking openssl (1.0.1f-1ubuntu2.15) over (1.0.1f-1ubuntu2) ...
Preparing to unpack .../ca-certificates_20141019ubuntu0.14.04.1_all.deb ...
Unpacking ca-certificates (20141019ubuntu0.14.04.1) over (20130906ubuntu2) ...
Preparing to unpack .../libruby1.9.1_1.9.3.484-2ubuntu1.2_amd64.deb ...
Unpacking libruby1.9.1 (1.9.3.484-2ubuntu1.2) over (1.9.3.484-2ubuntu1) ...
Preparing to unpack .../ruby1.9.1_1.9.3.484-2ubuntu1.2_amd64.deb ...
Unpacking ruby1.9.1 (1.9.3.484-2ubuntu1.2) over (1.9.3.484-2ubuntu1) ...
Setting up initscripts (2.88dsf-41ubuntu6.2) ...
Installing new version of config file /etc/init.d/ondemand ...
Setting up libdbus-1-3:amd64 (1.6.18-0ubuntu4.3) ...
Setting up libjson-c2:amd64 (0.11-3ubuntu1.2) ...
Setting up libcgmanager0:amd64 (0.24-0ubuntu7.3) ...
Setting up libprocps3:amd64 (1:3.3.9-1ubuntu2.2) ...
Setting up procps (1:3.3.9-1ubuntu2.2) ...
invoke-rc.d: policy-rc.d denied execution of start.
Setting up libudev1:amd64 (204-5ubuntu20.13) ...
Setting up udev (204-5ubuntu20.13) ...
Installing new version of config file /etc/init/udev-fallback-graphics.conf ...
invoke-rc.d: policy-rc.d denied execution of restart.
Removing 'diversion of /bin/udevadm to /bin/udevadm.upgrade by fake-udev'
update-initramfs: deferring update (trigger activated)
Setting up iproute2 (3.12.0-2ubuntu1) ...
Setting up ifupdown (0.7.47.2ubuntu4.1) ...
Installing new version of config file /etc/init/network-interface.conf ...
Setting up libjson0:amd64 (0.11-3ubuntu1.2) ...
Setting up upstart (1.12.1-0ubuntu4.2) ...
Installing new version of config file /etc/cron.daily/upstart ...
Setting up libsqlite3-0:amd64 (3.8.2-1ubuntu2.1) ...
Setting up libssl1.0.0:amd64 (1.0.1f-1ubuntu2.15) ...
debconf: unable to initialize frontend: Dialog
debconf: (No usable dialog-like program is installed, so the dialog based frontend cannot be used. at /usr/share/perl5/Debconf/FrontEnd/Dialog.pm line 76.)
debconf: falling back to frontend: Readline
debconf: unable to initialize frontend: Readline
debconf: (Can't locate Term/ReadLine.pm in @INC (you may need to install the Term::ReadLine module) (@INC contains: /etc/perl /usr/local/lib/perl/5.18.2 /usr/local/share/perl/5.18.2 /usr/lib/perl5 /usr/share/perl5 /usr/lib/perl/5.18 /usr/share/perl/5.18 /usr/local/lib/site_perl .) at /usr/share/perl5/Debconf/FrontEnd/Readline.pm line 7.)
debconf: falling back to frontend: Teletype
Setting up libdrm2:amd64 (2.4.60-2~ubuntu14.04.1) ...
Setting up initramfs-tools-bin (0.103ubuntu4.2) ...
Setting up cpio (2.11+dfsg-1ubuntu1.1) ...
Setting up initramfs-tools (0.103ubuntu4.2) ...
update-initramfs: deferring update (trigger activated)
Setting up libplymouth2:amd64 (0.8.8-0ubuntu17.1) ...
Setting up plymouth (0.8.8-0ubuntu17.1) ...
update-initramfs: deferring update (trigger activated)
Setting up libpython2.7-minimal:amd64 (2.7.6-8ubuntu0.2) ...
Setting up mime-support (3.54ubuntu1.1) ...
Setting up libpython2.7-stdlib:amd64 (2.7.6-8ubuntu0.2) ...
Setting up libpython2.7:amd64 (2.7.6-8ubuntu0.2) ...
Setting up libyaml-0-2:amd64 (0.1.4-3ubuntu3.1) ...
Setting up net-tools (1.60-25ubuntu2.1) ...
Setting up locales (2.13+git20120306-12.1) ...
Setting up openssl (1.0.1f-1ubuntu2.15) ...
Setting up ca-certificates (20141019ubuntu0.14.04.1) ...
debconf: unable to initialize frontend: Dialog
debconf: (No usable dialog-like program is installed, so the dialog based frontend cannot be used. at /usr/share/perl5/Debconf/FrontEnd/Dialog.pm line 76.)
debconf: falling back to frontend: Readline
debconf: unable to initialize frontend: Readline
debconf: (Can't locate Term/ReadLine.pm in @INC (you may need to install the Term::ReadLine module) (@INC contains: /etc/perl /usr/local/lib/perl/5.18.2 /usr/local/share/perl/5.18.2 /usr/lib/perl5 /usr/share/perl5 /usr/lib/perl/5.18 /usr/share/perl/5.18 /usr/local/lib/site_perl .) at /usr/share/perl5/Debconf/FrontEnd/Readline.pm line 7.)
debconf: falling back to frontend: Teletype
Setting up libruby1.9.1 (1.9.3.484-2ubuntu1.2) ...
Setting up ruby1.9.1 (1.9.3.484-2ubuntu1.2) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
Processing triggers for initramfs-tools (0.103ubuntu4.2) ...
Processing triggers for ca-certificates (20141019ubuntu0.14.04.1) ...
Updating certificates in /etc/ssl/certs... 17 added, 8 removed; done.
Running hooks in /etc/ca-certificates/update.d....done.
+ rm -rf /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty_main_binary-amd64_Packages.gz /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty_Release /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty_Release.gpg /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-security_main_binary-amd64_Packages.gz /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-security_Release /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-security_Release.gpg /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-security_universe_binary-amd64_Packages.gz /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty_universe_binary-amd64_Packages.gz /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-updates_main_binary-amd64_Packages.gz /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-updates_Release /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-updates_Release.gpg /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty-updates_universe_binary-amd64_Packages.gz /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/lock /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/partial
+ mkdir /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs/var/lib/apt/lists/partial
+ tar --numeric-owner --create --auto-compress --file /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs.tar.xz --directory /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs '--transform=s,^./,,' .
+ cat > '/data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/Dockerfile'
+ echo 'CMD ["/bin/bash"]'
+ rm -rf /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs
